Player,NF,RW,Salary,Actual
T. Johnson,0.0,0.37,200,0
G. Olszewski,0.0,0.79,200,0
J. Johnson,0.0,0.72,200,0
J. Stoll,0.0,2.08,200,0
O. Howard,0.0,1.61,400,1.3
E. Mitchell,0.0,11.85,8000,15.5
S. McKeon,0.0,1.94,200,0
R. Dwelley,0.0,1.93,200,0
T. Benjamin,0.0,0.87,200,2.7
N. Brown,0.0,0.85,1000,0
C. Woerner,0.0,0.59,200,0
T. Lance,0.0,0.48,6000,0
E. Mitchell,0.0,14.51,8200,10.1
D. Dafney,0.0,1.80,200,0
A. Rodgers,0.0,1.25,200,0
J. Winfree,0.0,1.15,600,0
R. Dwelley,0.0,0.92,200,0
C. Woerner,0.0,0.56,200,0
T. Lance,0.0,0.44,6000,0
T. Benjamin,0.0,0.33,200,0
J. Brown,0.0,3.63,200,0
K. Blanton,0.0,0.63,200,9.8
J. Kumerow,0.0,0.22,200,0
M. Kemp,0.0,1.02,200,0
J. Chase,18.4,18.21,10000,17.7
P. Mahomes,24.3,24.95,11200,22.9
T. Kelce,18.7,19.34,8800,25.5
J. Mixon,17.7,17.89,9000,14.5
T. Hill,19.3,20.21,10800,20.8
J. Burrow,20.5,22.81,10400,21.5
C. Edwards-Helaire,9.1,8.54,7000,5
B. Pringle,9.6,11.93,5200,3.6
T. Boyd,10.5,8.55,4800,5.9
J. McKinnon,10.3,15.00,5000,12.5
E. McPherson,8.6,9.65,4000,15
H. Butker,9.9,9.88,4200,7
T. Higgins,14.2,15.17,7800,19.3
C. Uzomah,9.9,10.56,5600,0
CIN D/ST,3.6,4.41,3400,8
M. Hardman,6.5,7.83,4600,16
KC D/ST,6.6,6.71,3600,3
D. Robinson,3.6,7.20,3000,0
D. Sample,0.0,0.88,200,1.4
D. Williams,2.6,3.51,1200,0
S. Perine,3.3,2.33,2200,13.3
M. Kemp,0.0,1.07,200,0
B. Bell,2.0,1.54,200,0
M. Burton,1.5,0.50,200,0.1
N. Gray,1.4,2.46,800,0
C. Evans,2.0,0.97,600,0
