Player,NF,RW,Salary,Actual
K. Shapiro,0.0,0.44,9600,0
J. Gillies,0.0,0.43,9600,0
M. Geertsen,1.2,0.00,3400,0
C. Jaros,2.0,0.00,3000,0
M. Studenic,3.1,0.00,2200,0
N. Ritchie,5.4,0.00,2000,0
C. De Leo,2.2,0.00,2000,0
K. Clifford,2.9,0.00,2000,0
C. Dahlstrom,2.8,0.00,2000,0
A. Biega,2.8,0.00,2000,0
K. Bahl,3.3,0.00,2000,0
A. Bishop,0.0,0.59,5000,0
J. Oettinger,12.2,12.05,10400,-4.90
E. Merzlikins,10.0,12.15,9200,-6.30
J. Campbell,15.9,14.46,10400,-6.3
M. McNiven,0.0,0.39,5000,-7.7
R. Lehner,13.1,14.60,10800,20
M. Pacioretty,11.1,14.78,10400,11.5
W. Karlsson,5.6,8.18,7200,14.5
J. Skinner,9.0,8.48,8000,5.6
T. Thompson,9.3,9.12,8400,15.5
M. Stone,7.7,11.53,7400,18
R. Dahlin,8.0,7.51,7800,2.8
C. Anderson,12.7,10.86,10200,3.5
R. Smith,9.1,8.64,7600,13
J. Audy-Marchessault,10.7,11.44,9200,17.8
S. Theodore,10.9,11.68,8600,2.8
A. Tuch,9.8,10.65,8200,22.7
A. Pietrangelo,9.6,10.74,9600,8.2
E. Dadonov,0.0,8.16,4800,10.5
B. McNabb,5.8,5.19,5600,12.5
V. Olofsson,7.1,5.11,5400,0
P. Krebs,2.9,6.93,3000,0
D. Cozens,7.2,5.75,5800,3
H. Jokiharju,5.5,5.10,3400,9.5
K. Okposo,6.6,5.98,6200,0
N. Hague,1.6,3.85,7000,0
N. Patrick,4.0,5.36,3200,8
N. Roy,6.3,3.29,4000,9.3
M. Samuelsson,3.5,3.97,4200,2.6
B. Howden,5.2,2.63,2200,19.8
C. Eakin,4.0,3.18,2000,6
W. Carrier,5.8,2.78,2000,2.6
M. Janmark,4.8,2.71,2400,3
M. Jankowski,3.8,2.19,2000,0
C. Fitzgerald,5.8,4.77,2000,4.1
A. Bjork,2.7,1.92,2600,0
M. Pysyk,4.9,2.29,3800,0
K. Kolesar,4.5,2.90,2000,12
R. Hagg,3.8,2.22,4400,0
J. Bryson,3.9,1.65,2000,2.6
Z. Whitecloud,5.5,0.00,6600,0
J. Hayden,2.9,1.74,2000,20.3
A. Martinez,4.8,0.00,7200,0
B. Hutton,3.8,1.94,2000,9.9
L. Brossoit,0.0,0.56,10600,0
D. Tokarski,0.0,0.53,10000,0
R. MacInnis,2.7,0.00,2000,0
C. Mittelstadt,5.4,0.00,3600,0
R. Asplund,5.1,0.00,2000,10.5
A. Ruotsalainen,4.6,0.00,2000,0
M. Amadio,4.4,0.00,2000,0
E. Prow,4.0,0.00,2000,0
W. Butcher,3.9,0.00,2000,0
J. Rondbjerg,3.9,0.00,2000,0
J. Leschyshyn,3.8,0.00,2000,0
B. Murray,3.4,0.00,2000,0
D. Miromanov,3.4,0.00,2000,8.6
A. Matthews,13.4,13.00,10800,30.5
F. Andersen,12.7,10.82,10200,7.6
M. Marner,9.6,9.70,9000,35.5
P. Mrazek,13.1,8.99,9800,15.1
A. Svechnikov,10.5,8.79,9200,4.3
S. Aho,13.6,8.68,9400,4.5
J. Tavares,10.8,8.11,8600,14.5
V. Trocheck,8.9,8.11,7800,1.5
T. DeAngelo,8.8,8.07,8800,20.8
W. Nylander,10.9,8.01,8400,17
M. Rielly,8.6,7.57,8200,15.8
M. Necas,8.3,6.99,5200,15.5
J. Slavin,7.5,6.97,7200,9.1
B. Skjei,5.8,6.19,5800,7.1
N. Niederreiter,7.6,5.73,6000,10
B. Pesce,7.2,5.66,5400,2.6
I. Mikheyev,9.3,5.45,6400,2.8
M. Bunting,6.9,5.16,6600,2.8
O. Kase,5.9,5.10,5600,1.3
A. Kerfoot,5.0,5.10,2600,1.3
J. Staal,5.4,4.99,5000,2.8
J. Holl,4.9,4.87,4200,8.2
R. Sandin,3.7,4.74,2000,6.9
T. Brodie,4.6,4.61,2000,2.8
S. Jarvis,7.0,4.12,6200,4.3
J. Martinook,4.0,3.95,4600,0
B. Smith,4.8,3.09,2000,0
D. Stepan,5.1,2.27,3000,11.5
P. Engvall,0.0,2.27,2000,1.5
I. Cole,4.2,2.07,3400,6.5
S. Lorentz,4.3,2.05,4000,6.5
J. Fast,5.2,1.83,4800,7.8
J. Spezza,5.4,1.78,2200,1.3
J. Leivo,5.7,1.74,2000,4.5
D. Kampf,4.0,1.53,2000,1.5
E. Bear,1.4,1.43,2400,0
W. Simmonds,3.6,1.27,2800,1.5
T. Dermott,3.5,1.22,3600,4.1
T. Liljegren,4.6,1.21,3200,7.8
A. Raanta,0.0,0.49,10200,0
J. Campbell,0.0,0.46,9800,0
A. Bishop,0.0,0.38,5000,0
T. Teravainen,0.6,0.00,7600,0
J. Kotkaniemi,5.1,0.00,3800,0
C. Dahlstrom,2.7,0.00,2000,0
K. Clifford,2.7,0.00,2000,0
A. Biega,2.1,0.00,2000,0
K. Kahkonen,15.4,13.75,10200,15.4
J. Eriksson Ek,9.4,8.47,8000,4.3
K. Fiala,11.1,9.66,8200,1.5
K. Kaprizov,11.9,11.18,9800,13.5
M. Scheifele,9.7,9.35,8800,19.9
K. Connor,11.9,11.98,10600,14.5
M. Zuccarello,11.3,8.88,9200,1.5
C. Hellebuyck,11.2,9.35,10000,28.9
A. Copp,7.4,7.88,7400,11.8
R. Hartman,9.1,7.22,8400,4.3
J. Spurgeon,7.2,7.25,7600,6
B. Wheeler,7.2,8.52,7800,9.3
J. Brodin,7.3,7.53,6600,2.8
J. Morrissey,7.2,6.96,7000,3
M. Boldy,0.0,7.38,7200,3
A. Goligoski,5.9,5.15,6000,6.9
J. Greenway,5.4,5.57,5000,0
P. Stastny,7.6,5.31,4800,0
F. Gaudreau,5.6,5.17,5400,2.8
N. Schmidt,7.5,5.73,6200,14.1
B. Dillon,4.7,5.00,5800,7.6
C. Perfetti,4.4,4.75,5600,0
M. Foligno,7.3,2.22,5200,0
A. Lowry,4.2,4.25,4400,1.5
N. Sturm,5.3,2.47,2000,1.3
D. DeMelo,4.0,4.16,3200,5.6
J. Benn,4.5,4.22,3600,5.6
J. Merrill,4.1,1.90,2000,2.8
V. Heinola,3.5,4.30,2000,6
D. Kulikov,5.1,1.51,2000,9.9
E. Svechnikov,4.1,1.76,2800,4.3
B. Duhaime,3.6,1.51,3000,1.5
C. Dewar,3.4,1.62,4000,9.5
D. Toninato,2.6,1.22,2000,1.3
J. Harkins,2.9,0.95,2000,1.5
K. Reichel,0.0,1.25,2000,3
J. Kovacevic,4.2,1.00,2000,1.3
K. Vesalainen,2.4,0.84,2000,0
C. Talbot,0.0,0.61,10400,0
E. Comrie,0.0,0.34,9800,0
N. Beaulieu,2.1,0.00,2000,0
C. Addison,3.9,0.00,2000,0
J. Lizotte,3.9,0.00,2000,0
D. Mermis,2.8,0.00,2000,0
V. Rask,4.9,0.00,2600,0
L. Stanley,4.7,0.00,2000,0
K. Czuczman,3.2,0.00,2200,0
K. Vejmelka,13.0,15.04,10400,-0.7
T. Demko,13.4,14.32,10800,30
J. Chychrun,7.9,9.06,10000,13.1
T. Pearson,8.2,9.47,7600,4.5
E. Pettersson,7.8,11.56,8200,15
B. Boeser,8.8,11.45,8600,13
J. Miller,11.5,11.44,9200,18
C. Garland,7.6,9.41,7800,19
